LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
21;egg;Eg;e-E.g-g.g-g;3;3;1;word_egg;1;VC;0
21;bug;bVg;b-b.u-V.g-g;3;3;1;word_bug;1;CVC;0
21;sag;sag;s-s.a-a.g-g;3;3;1;word_sag;1;CVC;0
21;beg;bEg;b-b.e-E.g-g;3;3;1;word_beg;1;CVC;0
21;big;bIg;b-b.i-I.g-g;3;3;1;word_big;1;CVC;0
21;gush;gVS;g-g.u-V.sh-S;3;4;1;word_gush;1;CVC;0
22;hint;hInt;h-h.i-I.n-n.t-t;4;4;1;word_hint;1;CVCC;0
22;hug;hVg;h-h.u-V.g-g;3;3;1;word_hug;1;CVC;0
22;hand;hand;h-h.a-a.n-n.d-d;4;4;1;word_hand;1;CVCC;0
22;had;had;h-h.a-a.d-d;3;3;1;word_had;1;CVC;0
22;hid;hId;h-h.i-I.d-d;3;3;1;word_hid;1;CVC;0
22;hut;hVnt;h-h.u-V.t-t;3;3;1;word_hut;1;CVCC;0
22;hat;hat;h-h.a-a.t-t;3;3;1;word_hat;1;CVC;0
22;hit;hIt;h-h.i-I.t-t;3;3;1;word_hit;1;CVC;0
22;hop;hop;h-h.o-o.p-p;3;3;1;word_hop;0;CVC;0
22;hen;hEn;h-h.e-E.n-n;3;3;1;word_hen;1;CVC;0
22;ham;ham;h-h.a-a.m-m;3;3;1;word_ham;1;CVC;0
22;hem;hEm;h-h.e-E.m-m;3;3;1;word_hem;1;CVC;0
22;hum;hVm;h-h.u-V.m-m;3;3;1;word_hum;1;CVC;0
22;hiss;hIs;h-h.i-I.s-s.s-s;4;4;1;word_hiss;1;CVC;0
22;hill;hIl;h-h.i-I.l-l.l-l;4;4;1;word_hill;1;CVC;0
22;hub;hVb;h-h.u-V.b-b;3;3;1;word_hub;1;CVC;0
22;hot;hot;h-h.o-o.t-t;3;3;1;word_hot;1;CVC;0
22;helps;hElp;h-h.e-E.l-l.p-p.s-s;5;5;1;word_helps;1;CVCC;0
22;hog;hog;h-h.o-o.g-g;3;3;1;word_hog;1;CVC;0
22;hunt;hVnt;h-h.u-V.n-n.t-t;4;4;1;word_hunt;1;CVCC;0
23;vast;vast;v-v.a-a.s-s.t-t;4;4;1;word_vast;1;CVCC;0
23;van;van;v-v.a-a.n-n;3;3;1;word_van;1;CVC;0
23;vest;vEst;v-v.e-E.s-s.t-t;4;4;1;word_vest;1;CVCC;0
24;bumble;bVmbl;b-b.u-V.m-m.b-b.l-l.e-*;6;6;1;word_bumble;1;CVCCC;0
24;bottle;botl;b-b.o-o.t-t.t-t.l-l.e-*;6;6;1;word_bottle;1;CVCC;0
24;possible;pos.sI.bl;p-p.o-o.s-s.s-s.i-I.b-b.l-l.e-*;8;8;3;word_possible;1;CVC.CV.CC;0
24;shuttle;SVt.tl;sh-S.u-V.t-t.t-t.l-l.e-*;6;7;2;word_shuttle;1;CVC.CC;0
24;candle;kan.dl;c-k.a-a.n-n.d-d.l-l.e-*;6;6;2;word_candle;1;CVC.CC;0
24;gobble;gob.bl;g-g.o-o.b-b.b-b.l-l.e-*;6;6;2;word_gobble;1;CVC.CC;0
24;cuddle;kVd.dl;c-k.u-V.d-d.d-d.l-l.e-*;6;6;2;word_cuddle;1;CVC.CC;0
24;middle;mId.dl;m-m.i-I.d-d.d-d.l-l.e-*;6;6;2;word_middle;1;CVC.CC;0
24;apple;ap.pl;a-a.p-p.p-p.l-l.e-*;5;5;2;word_apple;1;VC.CC;0
24;have;hav;h-h.a-a.v-v.e-*;4;4;1;word_have;1;CVV;0
24;else;Els;e-E.l-l.s-s.e-*;4;4;1;word_else;1;VCC;0
24;battle;bat.tl;b-b.a-a.t-t.t-t.l-l.e-*;6;6;2;word_battle;1;CVC.CC;0
24;handle;han.dl;h-h.a-a.n-n.d-d.l-l.e-*;6;6;2;word_handle;1;CVC.CC;0
24;saddle;sad.dl;s-s.a-a.d-d.d-d.l-l.e-*;6;6;2;word_saddle;1;CVC.CC;0
24;rev;rEv;r-r.e-E.v-v;3;3;1;word_rev;1;CVC;0
24;live;lIv;l-l.i-I.v-v.e-*;4;4;1;word_live;1;CVC;0
24;sense;sEns;s-s.e-E.n-n.s-s.e-*;5;5;1;word_sense;1;CVCC;0
24;gone;gon;g-g.o-o.n-n.e-*;4;4;1;word_gone;1;CVC;0
24;give;gIv;g-g.i-I.v-v.e-*;4;4;1;word_give;1;CVC;0
24;little;lIt.tl;l-l.i-I.t-t.t-t.l-l.e-*;6;6;2;word_little;1;CVC.CC;0
