LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
20;journal;;j-Z.ou-u.r-R.n-n.a-a.l-l;;;;Word_journal;;;0
20;journée;;j-Z.ou-u.r-R.n-n.é-e.e-#;;;;Word_journsym002e;;;0
20;nous;;n-n.ou-u.s-#;;;;Word_nous;;;0
20;fini;;f-f.i-i.n-n.i-i;;;;Word_finir;;;0
20;finir;;f-f.i-i.n-n.i-i.r-R;;;;Word_finir;;;0
20;fournir;;f-f.ou-u.r-R.n-n.i-i.r-R;;;;Word_fournir;;;0
20;né;;n-n.é-e;;;;Word_nsym002;;;0
20;nourrir;;n-n.ou-u.rr-R.i-i.r-R;;;;Word_nourrir;;;0
20;revenir;;r-R.e-*.v-v.e-*.n-n.i-i.r-R;;;;Word_revenir;;;0
20;réunir;;r-R.é-e.u-y.n-n.i-i.r-R;;;;Word_rsym002unir;;;0
20;sonne;;s-s.o-o.nn-n.e-#;;;;Word_sonne;;;0
20;venir;;v-v.e-*.n-n.i-i.r-R;;;;Word_venir ;;;0
9;Momo;;m-m.o-o.m-m.o-o;;;;-;;;1
20;rumine;;r-R.u-y.m-m.i-i.n-n.e-#;;;;-;;;0
22;forte;;f-f.o-o.r-R.t-t.e-#;;;;Word_forte;;;0
22;triste;;t-t.r-R.i-i.s-s.t-t.e-#;;;;Word_triste;;;0
22;toujours;;t-t.ou-u.j-Z.ou-u.r-R.s-#;;;;Word_toujours;;;0
22;vite;;v-v.i-i.t-t.e-#;;;;Word_vite;;;0
22;notre;;n-n.o-o.t-t.r-R.e-#;;;;Word_notre;;;0
22;ta;;t-t.a-a;;;;Word_ta;;;0
22;votre;;v-v.o-o.t-t.r-R.e-#;;;;Word_votre;;;0
22;aviateur;;a-a.v-v.i-j.a-a.t-t.eu-9.r-R;;;;Word_aviateur;;;0
22;artiste;;a-a.r-R.t-t.i-i.s-s.t-t.e-#;;;;Word_artiste ;;;0
22;astre;;a-a.s-s.t-t.r-R.e-#;;;;Word_astre;;;0
22;été;;é-e.t-t.é-e;;;;Word_sym002tsym002;;;0
22;feutre;;f-f.eu-2.t-t.r-R.e-#;;;;Word_feutre;;;0
22;fleuriste;;f-f.l-l.eu-9.r-R.i-i.s-s.t-t.e-#;;;;Word_fleuriste ;;;0
20;reniflé;;r-R.e-*.n-n.i-i.f-f.l-l.é-e;;;;-;;;0
22;fortune;;f-f.o-o.r-R.t-t.u-y.n-n.e-#;;;;Word_fortune ;;;0
22;loto;;l-l.o-o.t-t.o-o;;;;Word_loto;;;0
22;matelot;;m-m.a-a.t-t.e-*.l-l.o-o.t-#;;;;Word_matelot;;;0
22;marmite;;m-m.a-a.r-R.m-m.i-i.t-t.e-#;;;;Word_marmite;;;0
22;marmotte;;m-m.a-a.r-R.m-m.o-o.tt-t.e-#;;;;Word_marmotte;;;0
22;métal;;m-m.é-e.t-t.a-a.l-l;;;;Word_msym002tal;;;0
22;météo;;m-m.é-e.t-t.é-e.o-o;;;;Word_msym002tsym002o;;;0
22;métro;;m-m.é-e.t-t.r-R.o-o;;;;Word_msym002tro;;;0
22;minute;;m-m.i-i.n-n.u-y.t-t.e-#;;;;Word_minute;;;0
22;moteur;;m-m.o-o.t-t.eu-9.r-R;;;;Word_moteur ;;;0
